date,price,finance,sentiment_score
2023-02-14,411.0711669921875,1.0,0.8974358974358975
2023-02-15,412.40606689453125,1.0,0.8980891719745223
2023-02-16,406.72772216796875,1.0,0.8715596330275229
2023-02-17,405.71160888671875,1.0,0.8679245283018868
2023-02-21,397.5726623535156,1.0,0.8181818181818182
2023-02-22,397.0247497558594,1.0,0.8411214953271028
2023-02-23,399.1366882324219,1.0,0.9181818181818182
2023-02-24,394.8729553222656,1.0,0.8571428571428571
2023-02-27,396.21783447265625,1.0,0.9464285714285714
2023-02-28,394.75341796875,1.0,0.8486486486486486
2023-03-01,393.23919677734375,1.0,0.8787878787878788
2023-03-02,396.2975158691406,1.0,0.8407960199004975
2023-03-03,402.65325927734375,1.0,0.8954248366013072
2023-03-06,402.9322204589844,1.0,0.8356164383561644
2023-03-07,396.7557678222656,1.0,0.9389312977099237
2023-03-08,397.4033203125,1.0,0.7471264367816092
2023-03-09,390.0712890625,1.0,0.8511627906976744
2023-03-10,384.4427795410156,1.0,0.7433155080213903
2023-03-13,383.89483642578125,1.0,0.8620689655172413
2023-03-14,390.24066162109375,1.0,0.87
2023-03-15,387.7999572753906,1.0,0.8241758241758241
2023-03-16,394.6039733886719,1.0,0.7828054298642534
2023-03-17,389.989990234375,1.0,0.8461538461538461
2023-03-23,393.1700134277344,1.0,0.5555555555555556
2023-03-27,396.489990234375,1.0,0.9047619047619048
2023-04-05,407.6000061035156,1.0,0.9038461538461539
2023-04-06,409.19000244140625,1.0,0.9080459770114943
2023-04-10,409.6099853515625,1.0,0.8608695652173913
2023-04-11,409.7200012207031,1.0,0.7878787878787878
2023-04-12,408.04998779296875,1.0,0.7450980392156863
2023-04-24,412.6300048828125,1.0,0.8433179723502304
2023-04-25,406.0799865722656,1.0,0.8418604651162791
2023-04-26,404.3599853515625,1.0,0.8922155688622755
2023-04-27,412.4100036621094,1.0,0.9294117647058824
2023-04-28,415.92999267578125,1.0,0.9255813953488372
2023-05-01,415.510009765625,1.0,0.8552631578947368
2023-05-02,410.8399963378906,1.0,0.7931034482758621
2023-05-03,408.0199890136719,1.0,0.7928286852589641
